region,wirtschaftszweig,medianlohn_chf
Schweiz,Forstwirtschaft,6522.0
Ostschweiz,Forstwirtschaft,6495.0
Schweiz,"Bergbau, Gewinnung v. Steinen u. Erden",6198.0
Genferseeregion,"Bergbau, Gewinnung v. Steinen u. Erden",6412.0
Espace Mittelland,"Bergbau, Gewinnung v. Steinen u. Erden",6357.0
Nordwestschweiz,"Bergbau, Gewinnung v. Steinen u. Erden",6890.0
Zürich,"Bergbau, Gewinnung v. Steinen u. Erden",6423.0
Ostschweiz,"Bergbau, Gewinnung v. Steinen u. Erden",6028.0
Zentralschweiz,"Bergbau, Gewinnung v. Steinen u. Erden",6166.0
Tessin,"Bergbau, Gewinnung v. Steinen u. Erden",5871.0
Schweiz,Verarbeitendes Gewerbe/Herst. v. Waren,6378.0
Genferseeregion,Verarbeitendes Gewerbe/Herst. v. Waren,6693.0
Espace Mittelland,Verarbeitendes Gewerbe/Herst. v. Waren,6127.0
Nordwestschweiz,Verarbeitendes Gewerbe/Herst. v. Waren,7430.0
Zürich,Verarbeitendes Gewerbe/Herst. v. Waren,6542.0
Ostschweiz,Verarbeitendes Gewerbe/Herst. v. Waren,6096.0
Zentralschweiz,Verarbeitendes Gewerbe/Herst. v. Waren,6369.0
Tessin,Verarbeitendes Gewerbe/Herst. v. Waren,4586.0
Schweiz,Herst. v. Nahrungsmitteln; Getränkeherst.,5296.0
Genferseeregion,Herst. v. Nahrungsmitteln; Getränkeherst.,5541.0
Espace Mittelland,Herst. v. Nahrungsmitteln; Getränkeherst.,5132.0
Nordwestschweiz,Herst. v. Nahrungsmitteln; Getränkeherst.,5250.0
Zürich,Herst. v. Nahrungsmitteln; Getränkeherst.,5395.0
Ostschweiz,Herst. v. Nahrungsmitteln; Getränkeherst.,5158.0
Zentralschweiz,Herst. v. Nahrungsmitteln; Getränkeherst.,5671.0
Tessin,Herst. v. Nahrungsmitteln; Getränkeherst.,4371.0
Schweiz,Tabakverarbeitung,9784.0
Schweiz,Herst. v. Textilien u. Bekleidung,5208.0
Genferseeregion,Herst. v. Textilien u. Bekleidung,4422.0
Espace Mittelland,Herst. v. Textilien u. Bekleidung,5415.0
Nordwestschweiz,Herst. v. Textilien u. Bekleidung,5095.0
Zürich,Herst. v. Textilien u. Bekleidung,5285.0
Ostschweiz,Herst. v. Textilien u. Bekleidung,5336.0
Zentralschweiz,Herst. v. Textilien u. Bekleidung,5206.0
Tessin,Herst. v. Textilien u. Bekleidung,3331.0
Schweiz,Herst. v. Holzwaren u. Papier; Druckerzeugnisse,5973.0
Genferseeregion,Herst. v. Holzwaren u. Papier; Druckerzeugnisse,6064.0
Espace Mittelland,Herst. v. Holzwaren u. Papier; Druckerzeugnisse,5924.0
Nordwestschweiz,Herst. v. Holzwaren u. Papier; Druckerzeugnisse,6067.0
Zürich,Herst. v. Holzwaren u. Papier; Druckerzeugnisse,6268.0
Ostschweiz,Herst. v. Holzwaren u. Papier; Druckerzeugnisse,5846.0
Zentralschweiz,Herst. v. Holzwaren u. Papier; Druckerzeugnisse,5978.0
Tessin,Herst. v. Holzwaren u. Papier; Druckerzeugnisse,5421.0
Schweiz,Kokerei; Herst. v. chemischen Erz.,7608.0
Genferseeregion,Kokerei; Herst. v. chemischen Erz.,8351.0
Espace Mittelland,Kokerei; Herst. v. chemischen Erz.,6509.0
Nordwestschweiz,Kokerei; Herst. v. chemischen Erz.,8058.0
Zürich,Kokerei; Herst. v. chemischen Erz.,6705.0
Ostschweiz,Kokerei; Herst. v. chemischen Erz.,6487.0
Zentralschweiz,Kokerei; Herst. v. chemischen Erz.,6650.0
Tessin,Kokerei; Herst. v. chemischen Erz.,5095.0
Schweiz,Herst. v. pharmazeutischen Erzeugnissen,9835.0
Genferseeregion,Herst. v. pharmazeutischen Erzeugnissen,8063.0
Espace Mittelland,Herst. v. pharmazeutischen Erzeugnissen,7995.0
Nordwestschweiz,Herst. v. pharmazeutischen Erzeugnissen,10851.0
Zürich,Herst. v. pharmazeutischen Erzeugnissen,8203.0
Ostschweiz,Herst. v. pharmazeutischen Erzeugnissen,7848.0
Zentralschweiz,Herst. v. pharmazeutischen Erzeugnissen,10339.0
Tessin,Herst. v. pharmazeutischen Erzeugnissen,5383.0
Schweiz,Herst. v. Gummi- u. Kunststoffwaren,5984.0
Genferseeregion,Herst. v. Gummi- u. Kunststoffwaren,6264.0
Espace Mittelland,Herst. v. Gummi- u. Kunststoffwaren,5959.0
Nordwestschweiz,Herst. v. Gummi- u. Kunststoffwaren,6115.0
Zürich,Herst. v. Gummi- u. Kunststoffwaren,6240.0
Ostschweiz,Herst. v. Gummi- u. Kunststoffwaren,5983.0
Zentralschweiz,Herst. v. Gummi- u. Kunststoffwaren,5822.0
Tessin,Herst. v. Gummi- u. Kunststoffwaren,4764.0
Schweiz,Metallerzeugung; Herst. v. Metallerzeugnissen,6000.0
Genferseeregion,Metallerzeugung; Herst. v. Metallerzeugnissen,5963.0
Espace Mittelland,Metallerzeugung; Herst. v. Metallerzeugnissen,5957.0
Nordwestschweiz,Metallerzeugung; Herst. v. Metallerzeugnissen,6124.0
Zürich,Metallerzeugung; Herst. v. Metallerzeugnissen,6600.0
Ostschweiz,Metallerzeugung; Herst. v. Metallerzeugnissen,6054.0
Zentralschweiz,Metallerzeugung; Herst. v. Metallerzeugnissen,5983.0
Tessin,Metallerzeugung; Herst. v. Metallerzeugnissen,4790.0
Schweiz,"Herst. v. Datenverarbeitungsge., elektron. u. opt. Erz.; Uhren",6875.0
Genferseeregion,"Herst. v. Datenverarbeitungsge., elektron. u. opt. Erz.; Uhren",7277.0
Espace Mittelland,"Herst. v. Datenverarbeitungsge., elektron. u. opt. Erz.; Uhren",6282.0
Nordwestschweiz,"Herst. v. Datenverarbeitungsge., elektron. u. opt. Erz.; Uhren",8103.0
Zürich,"Herst. v. Datenverarbeitungsge., elektron. u. opt. Erz.; Uhren",7373.0
Ostschweiz,"Herst. v. Datenverarbeitungsge., elektron. u. opt. Erz.; Uhren",6551.0
Zentralschweiz,"Herst. v. Datenverarbeitungsge., elektron. u. opt. Erz.; Uhren",8572.0
Tessin,"Herst. v. Datenverarbeitungsge., elektron. u. opt. Erz.; Uhren",3616.0
Schweiz,Herst. v. elektrischen Ausrüstungen,6710.0
Genferseeregion,Herst. v. elektrischen Ausrüstungen,6444.0
Espace Mittelland,Herst. v. elektrischen Ausrüstungen,5963.0
Nordwestschweiz,Herst. v. elektrischen Ausrüstungen,8137.0
Zürich,Herst. v. elektrischen Ausrüstungen,6504.0
Ostschweiz,Herst. v. elektrischen Ausrüstungen,6711.0
Zentralschweiz,Herst. v. elektrischen Ausrüstungen,6568.0
Tessin,Herst. v. elektrischen Ausrüstungen,3632.0
Schweiz,Maschinenbau,6882.0
Genferseeregion,Maschinenbau,7343.0
Espace Mittelland,Maschinenbau,6715.0
Nordwestschweiz,Maschinenbau,6793.0
Zürich,Maschinenbau,7582.0
Ostschweiz,Maschinenbau,6796.0
Zentralschweiz,Maschinenbau,6760.0
Tessin,Maschinenbau,5799.0
Schweiz,Fahrzeugbau,6779.0
Genferseeregion,Fahrzeugbau,6976.0
Espace Mittelland,Fahrzeugbau,7354.0
Nordwestschweiz,Fahrzeugbau,6122.0
Zürich,Fahrzeugbau,6911.0
Ostschweiz,Fahrzeugbau,6526.0
Zentralschweiz,Fahrzeugbau,7043.0
