job_id,job_title,company,location,stadt_normalisiert,bfs_region,category,lohnkategorie,wirtschaftszweig_bfs,seniority,contract_type,salary_range,gehalt_monat_chf,gehalt_jahr_chf,bfs_medianlohn_chf,lohn_diskrepanz_chf,lohn_diskrepanz_pct,skills_liste,skills_anzahl,date_posted,job_url
556d8120-2e74-40bf-ab24-b863dd45f5c2,Compliance Officer TRX Monitoring & Sanctions (m/w/d),VP Bank AG,Vaduz,Vaduz,Andere,Banken / Finanzinstitute,Hochlohn,Finanz- u. Versicherungsdienstleistungen,Mid,On-site,,,,9196.0,,,Excel | Compliance,2,2026-04-21T05:02:40+02:00,https://www.jobs.ch/de/stellenangebote/detail/556d8120-2e74-40bf-ab24-b863dd45f5c2/
a29e6376-b993-4ad2-99c4-e09ac24433e3,Operator Biological Manufacturing DSP (w/m/d),Bavarian Nordic Berna GmbH,Bern,Bern,Espace Mittelland,Chemie / Pharma,Hochlohn,Herst. v. pharmazeutischen Erzeugnissen,Mid,On-site,CHF 41775 - 81775 (jobs.ch estimate),5148.0,66924.0,7995.0,-2847.0,-35.6,SAP,1,2026-04-20T16:33:15+02:00,https://www.jobs.ch/de/stellenangebote/detail/a29e6376-b993-4ad2-99c4-e09ac24433e3/
fed1c671-05f6-44da-8f1a-74bb4ac0df71,Spezialist/in Abwasserbehandlung (Industrie) 100% (m/w/d),Thommen-Furler AG,Urdorf,Urdorf,Andere,Chemie / Pharma,Hochlohn,Herst. v. pharmazeutischen Erzeugnissen,Senior,On-site,CHF 78809 - 93600 (jobs.ch estimate),7184.0,93392.0,9835.0,-2651.0,-27.0,,0,2026-04-20T16:33:38+02:00,https://www.jobs.ch/de/stellenangebote/detail/fed1c671-05f6-44da-8f1a-74bb4ac0df71/
b9e2cc02-e36c-4612-8ee3-b0c8b33beb3a,Sachbearbeiter/in Service-Center Entsorgung und Stoffflussmanagement 100% (m/w/d),Thommen-Furler AG,Urdorf,Urdorf,Andere,Chemie / Pharma,Hochlohn,Herst. v. pharmazeutischen Erzeugnissen,Mid,On-site,,,,9835.0,,,Deutsch | Englisch | Französisch,3,2026-04-20T16:33:38+02:00,https://www.jobs.ch/de/stellenangebote/detail/b9e2cc02-e36c-4612-8ee3-b0c8b33beb3a/
13a88aa0-c235-43a4-951a-316ad2cc352f,ECA-Operator /Erfahrung beim Mikroskopieren,Gi Life Sciences Basel,Schaffhausen,Schaffhausen,Ostschweiz,Chemie / Pharma,Hochlohn,Herst. v. pharmazeutischen Erzeugnissen,Mid,On-site,CHF 59500 - 80000 (jobs.ch estimate),5812.0,75556.0,7848.0,-2036.0,-25.9,Deutsch | GMP,2,2026-04-20T18:04:19+02:00,https://www.jobs.ch/de/stellenangebote/detail/13a88aa0-c235-43a4-951a-316ad2cc352f/
9a229fc9-211b-4b69-ad77-24dce104f3d5,Product Manager (Pharma) Ref.444 (m/w),Thoma & Partner Management Consulting AG,Zentralschweiz,Zentralschweiz,Andere,Chemie / Pharma,Hochlohn,Herst. v. pharmazeutischen Erzeugnissen,Lead/Manager,On-site,,,,9835.0,,,Projektmanagement | Deutsch | Englisch | Französisch,4,2026-04-20T21:02:34+02:00,https://www.jobs.ch/de/stellenangebote/detail/9a229fc9-211b-4b69-ad77-24dce104f3d5/
713c5d90-7468-4db4-8d2b-128f94f227ae,Technologue en production chimique et pharmaceutique (f/h/d),Colors & Effects Switzerland AG,Monthey,Monthey,Andere,Chemie / Pharma,Hochlohn,Herst. v. pharmazeutischen Erzeugnissen,Mid,On-site,CHF 68000 - 108000 (jobs.ch estimate),7333.0,95329.0,9835.0,-2502.0,-25.4,,0,2026-04-21T01:59:56+02:00,https://www.jobs.ch/de/stellenangebote/detail/713c5d90-7468-4db4-8d2b-128f94f227ae/
b6ac029b-80a7-499b-be1e-5c6ad5fb6b51,Compliance Senior Technician / Specialist,AXEPTA SA,Vaud,Vaud,Andere,Chemie / Pharma,Hochlohn,Herst. v. pharmazeutischen Erzeugnissen,Senior,On-site,,,,9835.0,,,Compliance | GMP,2,2026-04-21T01:59:56+02:00,https://www.jobs.ch/de/stellenangebote/detail/b6ac029b-80a7-499b-be1e-5c6ad5fb6b51/
5d0cb275-68fb-4d26-88bc-9f617a57e5d3,Kassenmitarbeiter/in 50%,Hotelis SA (Zürich),Rotkreuz,Zug,Zentralschweiz,Chemie / Pharma,Hochlohn,Herst. v. pharmazeutischen Erzeugnissen,Mid,On-site,,,,10339.0,,,Deutsch,1,2026-04-21T09:33:02+02:00,https://www.jobs.ch/de/stellenangebote/detail/5d0cb275-68fb-4d26-88bc-9f617a57e5d3/
d138e088-d7ee-47f4-9bbc-58ac94ce7917,Projektleiter Materialprüfung (m/w/d),EMS-CHEMIE AG,Domat/Ems,Domat,Andere,Chemie / Pharma,Hochlohn,Herst. v. pharmazeutischen Erzeugnissen,Lead/Manager,On-site,,,,9835.0,,,Deutsch | ISO,2,2026-04-21T09:57:06+02:00,https://www.jobs.ch/de/stellenangebote/detail/d138e088-d7ee-47f4-9bbc-58ac94ce7917/
9a9dc453-5158-4db5-b012-2a07f790e5e8,Opérateur Logistique,Safran Timing Technologies SA,Nyon,Nyon,Andere,Chemie / Pharma,Hochlohn,Herst. v. pharmazeutischen Erzeugnissen,Mid,On-site,,,,9835.0,,,SAP | GMP,2,2026-04-21,https://www.jobs.ch/de/stellenangebote/detail/9a9dc453-5158-4db5-b012-2a07f790e5e8/
a57b28d5-40e6-464f-9779-d7a0b4dab9ea,Einblickspraktikum Pharmazie 100%,Luzerner Kantonsspital,Luzern,Luzern,Zentralschweiz,Chemie / Pharma,Hochlohn,Herst. v. pharmazeutischen Erzeugnissen,Junior,Hybrid,CHF 20000 - 60000 (jobs.ch estimate),,,10339.0,,,,0,2026-04-21T11:26:50+02:00,https://www.jobs.ch/de/stellenangebote/detail/a57b28d5-40e6-464f-9779-d7a0b4dab9ea/
dcf4ba27-df06-43dd-8c62-d2c9ff7362bc,"Innovation & Technical Marketing Manager Polymers, 100%",Omya (Schweiz) AG,Oftringen,Oftringen,Andere,Chemie / Pharma,Hochlohn,Herst. v. pharmazeutischen Erzeugnissen,Lead/Manager,On-site,CHF 60600 - 100600 (jobs.ch estimate),6717.0,87321.0,9835.0,-3118.0,-31.7,Agile,1,2026-04-21T12:34:26+02:00,https://www.jobs.ch/de/stellenangebote/detail/dcf4ba27-df06-43dd-8c62-d2c9ff7362bc/
23d10c72-65ca-4542-8179-453ff3e28323,Produktionsmitarbeiter 2-Schicht (m/w/d),Workmanagement AG,Lachen SZ,Lachen SZ,Andere,Chemie / Pharma,Hochlohn,Herst. v. pharmazeutischen Erzeugnissen,Mid,On-site,,,,9835.0,,,Deutsch,1,2026-04-21T13:32:44+02:00,https://www.jobs.ch/de/stellenangebote/detail/23d10c72-65ca-4542-8179-453ff3e28323/
2b5292c5-d411-49f2-acf7-8a53b65aba9f,Regulatory & Medical Affairs,Spirig HealthCare AG,Egerkingen,Solothurn,Espace Mittelland,Chemie / Pharma,Hochlohn,Herst. v. pharmazeutischen Erzeugnissen,Mid,On-site,CHF 90000 - 130000 (jobs.ch estimate),9167.0,119171.0,7995.0,1172.0,14.7,Deutsch,1,2026-04-21T13:33:06+02:00,https://www.jobs.ch/de/stellenangebote/detail/2b5292c5-d411-49f2-acf7-8a53b65aba9f/
a57d40ad-1323-4dc4-ab4a-19243c0dfb32,Procurement Manager External Manufacturing Services (m/w),Personal Contact Basel AG,Basel,Basel,Nordwestschweiz,Chemie / Pharma,Hochlohn,Herst. v. pharmazeutischen Erzeugnissen,Lead/Manager,Remote,CHF 75000 - 115000 (jobs.ch estimate),7917.0,102921.0,10851.0,-2934.0,-27.0,SAP | GMP,2,2026-04-21T13:33:15+02:00,https://www.jobs.ch/de/stellenangebote/detail/a57d40ad-1323-4dc4-ab4a-19243c0dfb32/
3d3aa79c-6a1b-49e6-9f8d-76a03adf3765,Senior Procurement Manager External Manufacturing / CDMO Procurement,Manpower Basel,Basel,Basel,Nordwestschweiz,Chemie / Pharma,Hochlohn,Herst. v. pharmazeutischen Erzeugnissen,Lead/Manager,Hybrid,,,,10851.0,,,SAP | GMP,2,2026-04-21T13:34:25+02:00,https://www.jobs.ch/de/stellenangebote/detail/3d3aa79c-6a1b-49e6-9f8d-76a03adf3765/
9034e406-ca4b-4c23-9956-fce25a9cd9c3,"Innovation & Technical Marketing Manager Paper & Board, 100%",Omya (Schweiz) AG,Egerkingen,Solothurn,Espace Mittelland,Chemie / Pharma,Hochlohn,Herst. v. pharmazeutischen Erzeugnissen,Lead/Manager,On-site,CHF 64500 - 104500 (jobs.ch estimate),7042.0,91546.0,7995.0,-953.0,-11.9,Agile,1,2026-04-21T14:34:28+02:00,https://www.jobs.ch/de/stellenangebote/detail/9034e406-ca4b-4c23-9956-fce25a9cd9c3/
f4144c1a-fc72-4e40-ab1d-cb18e61c0706,Pharmaberater Mikronährstoffe (w/m),Stettler Consulting AG,Region Aargau / Luzern / Zug,Luzern,Zentralschweiz,Chemie / Pharma,Hochlohn,Herst. v. pharmazeutischen Erzeugnissen,Mid,On-site,,,,10339.0,,,,0,2026-04-21T15:03:22+02:00,https://www.jobs.ch/de/stellenangebote/detail/f4144c1a-fc72-4e40-ab1d-cb18e61c0706/
3cb47fbb-7aed-4cec-bc32-9bb2f2e6fb1b,PraktikantIn Operational Excellence (OPEX) (m/w/d)*,SCHOTT Pharma Schweiz AG,St. Gallen,St. Gallen,Ostschweiz,Chemie / Pharma,Hochlohn,Herst. v. pharmazeutischen Erzeugnissen,Mid,On-site,,,,7848.0,,,Englisch,1,2026-04-21T19:27:02+02:00,https://www.jobs.ch/de/stellenangebote/detail/3cb47fbb-7aed-4cec-bc32-9bb2f2e6fb1b/
c2ef3e2e-d0f8-44a2-9bc9-91160b07d8ce,Pharmacy Supporter (Professional/Senior) (w/m/d),Galenica AG,Bern,Bern,Espace Mittelland,Chemie / Pharma,Hochlohn,Herst. v. pharmazeutischen Erzeugnissen,Senior,On-site,,,,7995.0,,,Deutsch | Französisch,2,2026-04-21T19:56:38+02:00,https://www.jobs.ch/de/stellenangebote/detail/c2ef3e2e-d0f8-44a2-9bc9-91160b07d8ce/
1535f85d-18e6-4794-aeb4-fa1b9dfb53a6,"Sachbearbeiter:in Verkaufsinnendienst (VID) 80-100 %, (m/w/d)",Frike Chemicals AG,Weztikon,Weztikon,Andere,Chemie / Pharma,Hochlohn,Herst. v. pharmazeutischen Erzeugnissen,Mid,On-site,,,,9835.0,,,Deutsch | Englisch,2,2026-04-02T16:03:33+02:00,https://www.jobs.ch/de/stellenangebote/detail/1535f85d-18e6-4794-aeb4-fa1b9dfb53a6/
d134055a-2986-4050-ad02-7553185af0ad,ECA-Operator,Gi Life Sciences Stein,Schaffhausen,Schaffhausen,Ostschweiz,Chemie / Pharma,Hochlohn,Herst. v. pharmazeutischen Erzeugnissen,Mid,Hybrid,,,,7848.0,,,Deutsch | GMP,2,2026-04-02T16:04:34+02:00,https://www.jobs.ch/de/stellenangebote/detail/d134055a-2986-4050-ad02-7553185af0ad/
146618ab-bc20-457d-aca9-4e01073b6a4a,Tax Compliance Officer (w/m/d),VP Bank AG,Vaduz,Vaduz,Andere,Banken / Finanzinstitute,Hochlohn,Finanz- u. Versicherungsdienstleistungen,Mid,On-site,,,,9196.0,,,Deutsch | Compliance,2,2026-04-21T05:02:40+02:00,https://www.jobs.ch/de/stellenangebote/detail/146618ab-bc20-457d-aca9-4e01073b6a4a/
dcb161de-aa8c-4248-bfdb-414393c0ddda,(Senior) Produktmanagerin / Produktmanager Angebotsentwicklung Anlagegeschäft (a),Berner Kantonalbank AG (BEKB | BCBE),Bern-Bundesplatz,Bern,Espace Mittelland,Banken / Finanzinstitute,Hochlohn,Finanz- u. Versicherungsdienstleistungen,Lead/Manager,Hybrid,,,,7771.0,,,Projektmanagement,1,2026-04-21T05:02:42+02:00,https://www.jobs.ch/de/stellenangebote/detail/dcb161de-aa8c-4248-bfdb-414393c0ddda/
ff2e97cf-f5fc-447e-845e-308acefdd529,Prüfungsleiterin / Prüfungsleiter Senior Auditor (a),Berner Kantonalbank AG (BEKB | BCBE),Bern-Liebefeld,Bern,Espace Mittelland,Banken / Finanzinstitute,Hochlohn,Finanz- u. Versicherungsdienstleistungen,Lead/Manager,Hybrid,CHF 69000 - 109000 (jobs.ch estimate),7417.0,96421.0,7771.0,-354.0,-4.6,,0,2026-04-21T05:02:42+02:00,https://www.jobs.ch/de/stellenangebote/detail/ff2e97cf-f5fc-447e-845e-308acefdd529/
ad3fbf62-c46d-4801-9b14-5dca65882840,Teamleiterin / Teamleiter Recht (Anwalt / Anwältin) (a) (80-100%),Berner Kantonalbank AG (BEKB | BCBE),Bern-Bundesplatz,Bern,Espace Mittelland,Banken / Finanzinstitute,Hochlohn,Finanz- u. Versicherungsdienstleistungen,Lead/Manager,Hybrid,,,,7771.0,,,Französisch | Compliance,2,2026-04-21T05:02:42+02:00,https://www.jobs.ch/de/stellenangebote/detail/ad3fbf62-c46d-4801-9b14-5dca65882840/
0287e1e1-ab29-468c-96a8-918b55bfa941,Kundenberaterin / Kundenberater Finanzierungsgeschäfte (a),Berner Kantonalbank AG (BEKB | BCBE),Olten und Bern-Liebefeld,Bern,Espace Mittelland,Banken / Finanzinstitute,Hochlohn,Finanz- u. Versicherungsdienstleistungen,Mid,Hybrid,,,,7771.0,,,Deutsch | Französisch | Italienisch,3,2026-04-21T05:02:42+02:00,https://www.jobs.ch/de/stellenangebote/detail/0287e1e1-ab29-468c-96a8-918b55bfa941/
b5633774-c63a-45bf-9674-4d736351b9c4,Mandatsleiter Treuhand und Beratung (w/m/d) 80-100%,BDO AG,Affoltern am Albis,Affoltern am Albis,Andere,Banken / Finanzinstitute,Hochlohn,Finanz- u. Versicherungsdienstleistungen,Lead/Manager,Hybrid,,,,9196.0,,,Deutsch,1,2026-04-21T07:56:58+02:00,https://www.jobs.ch/de/stellenangebote/detail/b5633774-c63a-45bf-9674-4d736351b9c4/
9cc2ebf8-b722-4eda-894a-be4ce6bad5d7,Consumer Finance Specialist (w/m/d),Valora Schweiz AG,Zürich,Zuerich,Zürich,Banken / Finanzinstitute,Hochlohn,Finanz- u. Versicherungsdienstleistungen,Mid,Hybrid,,,,9983.0,,,Deutsch | Französisch,2,2026-04-21T09:01:57+02:00,https://www.jobs.ch/de/stellenangebote/detail/9cc2ebf8-b722-4eda-894a-be4ce6bad5d7/
8112385e-8a3e-4923-aaf0-92b05d5b99a7,Privatkundenberater (m/w) Glarus 60 %,Glarner Kantonalbank,Glarus,Glarus,Andere,Banken / Finanzinstitute,Hochlohn,Finanz- u. Versicherungsdienstleistungen,Mid,On-site,,,,9196.0,,,,0,2026-04-21T10:31:41+02:00,https://www.jobs.ch/de/stellenangebote/detail/8112385e-8a3e-4923-aaf0-92b05d5b99a7/
cd3569ca-c64f-46a5-a416-aad1f81679f4,"Senior Spezialist/in Marketing Automation, Kampagnen- und Leadmanagement",Zuger Kantonalbank,Baar,Zug,Zentralschweiz,Banken / Finanzinstitute,Hochlohn,Finanz- u. Versicherungsdienstleistungen,Lead/Manager,Hybrid,,,,7993.0,,,Salesforce,1,2026-04-21T10:56:35+02:00,https://www.jobs.ch/de/stellenangebote/detail/cd3569ca-c64f-46a5-a416-aad1f81679f4/
c5c2db0e-ea95-4005-ad96-57c0f1dcf1d4,Sachbearbeiter Treuhand (w/m/d) 80-100%,BDO AG,Dättwil AG,Dättwil AG,Andere,Banken / Finanzinstitute,Hochlohn,Finanz- u. Versicherungsdienstleistungen,Mid,Hybrid,,,,9196.0,,,,0,2026-04-21T11:26:43+02:00,https://www.jobs.ch/de/stellenangebote/detail/c5c2db0e-ea95-4005-ad96-57c0f1dcf1d4/
